用户信息
用户昵称：冷知识bot
用户id: 3911558393
微博数: 769
关注数: 7
粉丝数: 971121

原创微博内容: 
微博序号	微博内容	微博位置	发布时间	点赞数	转发数	评论数	发布工具
137	在最新版微信聊天框中，或者直接去联系人列表，双击对方头像，对方的头像有时会抖动两下。其实这是一个快速进入视频动态的方式，当好友有视频动态时，双击会直接进入视频动态，如果没有视频动态，对方的头像就会晃动。此外如何一眼看出对方发的是图片还是表情包？如果是图片那么就是比较圆润的角，如果是表情包就是直角。	无	2019-03-19 23:26	2628	251	633	无
138	特朗普（Neopalpa donaldtrumpi）是科学家新发现的一种飞蛾，命名人纳扎表示，因其“发型”酷似美国第45任总统唐纳德·特朗普，因而得名。 	无	2019-03-19 21:55	3742	470	351	无
139	小时候我们捉到的“小蜻蜓”并不是幼年时期的蜻蜓，而是另一种昆虫，叫做豆娘。豆娘（Caenagrion）属于昆虫纲，蜻蜓目，束翅亚目，统称蟌（cōng）。豆娘体态优美、颜色鲜艳，且其翅膀颜色多变，休息时翅束于背上方。身体细长且软弱，类似小型的蜻蜓，但不是蜻蜓。它们擅长捕食空中的小飞虫，不过由于体型较小、飞行速度较慢，因此豆娘主要是以体型微小的蚊、蝇和蚜虫、介壳虫、木虱、飞虱、摇蚊等昆虫为主食。	无	2019-03-19 20:36	1698	458	524	无
140	中华人民共和国是1949年9月21日成立的。 	无	2019-03-19 12:30	4892	1648	696	无
141	为什么人们常说买东西而不说买南北？关于这件事有很多种说法，目前还没有确切的结论。①五行说五行中南方为火，北方为水，夜晚敲门求借水火，人家没有不给的，因为水火不需要买卖交易，所以只有买东西一说，而不提买南北。②东西两市说唐代京都长安，丝绸之路的起点，好像是当时世界上人口最多的国家。城内有“东市”和“西市”两大市场。东市主要服务上层社会,  而西市是平民市场，但也有很多国际客商，繁荣程度可想而知。百姓商人经常买卖于“东西两市”，时间久了，就变成“买、卖东西”了。③东洋西洋说唐宋时期中国和国外的贸易往来是很频繁的，瓷器、丝绸啥的那会就已经开始出口了，当然国外的商品也开始进入中国。到了明朝，国外的很多商品已经渗透到社会生活中了，比如细布、洋刀、小乐器啥的。随着东洋、西洋的商品大量输入，这些商品以“东西”为代名词融入到语言系统中，随后演变成所有物品的代名词。	无	2019-03-19 10:05	2174	236	298	无
142	挂一个公众号，“好奇博士”。该公众号连续几个月抄袭bot内容，有些是客观事实就算了，拿去没什么，用本号图（找不到作者的情况下，小冷的图也均是来自网络）也没什么，过分的是直接拿粉丝投稿的图和内容。该公众号有一个栏目叫“今日全宇宙最涨姿势的十张图”，小冷随便翻了几条，就发现很多内容和bot内容重合，文案进行一个概论就拿去了，有些图甚至水印都没有去干净。对比一下时间，基本是小冷发完微博的第二天就被这位“好奇”小编拿去了。小冷也不知道该怎么办，你也应该能看到这条微博，希望你以后不要拿了，最开始粉丝私信我，我也没太在意，后来发现越来越多的内容被拿去，把粉丝投稿的原创图也直接去了水印发出来，实在令人生气。如果再次发现这种行为，绝不容忍！	无	2019-03-19 09:22	2543	109	305	无
143	如题 	无	2019-03-18 22:15	4785	3318	2224	无
144	蛇果，原产于美国的加利福尼亚州，又名红元帅，它和蛇是没有一点关系的。为什么叫蛇果？源于它的英文名字：Red Delicious Apple，香港音译为“红地厘蛇果”，简称蛇果。 	无	2019-03-18 20:30	2266	705	700	无
145	港台地区使用的部分繁体字是有区别的。 	无	2019-03-18 15:45	6445	7666	1246	无
146	关于《鲁滨逊漂流记》的原名原名：《The Life and Strange Surprising Adventures of Robinson Crusoe, Of York, Mariner: Who lived Eight And Twenty Years, all alone in an un-inhabited Island on the Coast of America, Near the Mouth of the Great River of Oroonoque; Having been cast on Shore by Shipwreck, wherein all the Men perished but himself. With an Account how he was at last as strangely deliver’d by Pyrats》翻译：《约克水手鲁滨逊·克鲁索的生活经历与惊奇冒险：二十八年以来，他孤身一人居住在美洲海岸荒无人烟的小岛上，临近奥鲁诺克河口；海难之后他被冲上海岸，成为唯一的幸存者；书中还讲述了最后如何不可思议地为海盗所救》，该书名也成为了剧透界的典范。	无	2019-03-18 09:10	3805	1452	616	无
147	关于失歌症（amusia）唱歌不着调有可能是患了失歌症，患该症状的人不能准确地唱出一首歌，唱歌常常跑调，但是他们往往觉得自己唱得好像还不错。失歌症又称“歌乐不能”，是失语症的症状之一，指因大脑左半球颞叶前部病变，患者部分或全部丧失本来具有的认知音符和歌唱演奏等能力，也就是无法感知音乐。在澳大利亚麦考瑞大学的比尔·汤普森教授对失歌症进行的一项研究分析中，每100人里大约有4人患有失歌症，且失歌症表现出较强的遗传性，而大部人都是因为后天接触音乐太少，对于音高概念不熟悉，所导致的音准误差。此外，失歌症患者可能还存在沟通障碍，如辨别不出对方语言中传达的表示生气、害怕或讽刺等情绪。他们经常会遗漏对方通过语调表达的“弦外之音”。遗传等原因造成的失歌症，目前尚没有办法预防和治疗。但是，从小培养孩子对声音的辨别力和敏感度，却可以尽量避免唱歌跑调、五音不全的发生。唱歌是一门艺术，需要我们不断的去学习、去练习、去体会。只要克服基本问题，掌握一定的演唱方法，相信人人都可能会唱好歌。	无	2019-03-17 21:50	5320	2506	1861	无
148	天堂鸟是一种植物，学名鹤望兰。 	无	2019-03-17 17:35	4102	618	739	无
149	这个「快来吧」表情包出自1993年出版的日本漫画《疯狂世界》，作者也是蜡笔小新的作者——臼井仪人うすいよしと (1958—2009)。 	无	2019-03-17 13:40	2502	666	484	无
150	美国白宫是因为被烧过才涂成白色的。美国通过独立战争取得独立后，摆脱了英国的殖民统治，实力不断扩张，但英国并不希望看到美国实力壮大，在贸易、政治和军事等方面对美国进行压制。于是，1812年6月爆发了“第二次美英战争”，英军于1814年8月攻占华盛顿——白宫就是在当时被英军（其中一半是加拿大民兵，当时加拿大尚未获得自治权）焚烧，战后不得不用白色涂料粉饰墙壁，并因此得名。顺道一提，America也是由人名而来。哥伦布是最早到达美洲大陆的欧洲航海家，可是他一直以为自己到的是印度，所以管当地的原住民叫印第安人，直到哥伦布死去时，他都以为自己去的就是印度。后来，意大利航海家亚美利哥（Amerigo）在1499年至1504年间几次航行到南美洲沿岸进行实地考察。他返回欧洲后，绘制了一份新地图，并充分肯定了他所到达的地区并非哥伦布所指的“印度”，而是“新大陆”。从1507年起，人们便以他的名字称“新大陆”为“亚美利加洲”，而“America”就是将亚美利哥的拉丁语名亚美利克斯(Americus)的词尾换为地名接尾词-a而成的。	无	2019-03-17 10:00	2312	305	669	无
151	教大家一些基本的皮卡丘语:pikapi=小智pika pikachu/ pika-pika pikachu=我叫皮卡丘pi-kachu=皮卡丘(小智等人介绍自己时才会用到)pikachu-pi=小霞pika-chu=小刚pikaka=小光pipipi=波克比pi？=（疑问）什么？PikakaPika=妙蛙种子PikaPika=杰尼龟/姆克鹰/烈焰猴pipi-kachu=火箭队pi-pikachu= (在小智收服到新精灵或者得到徽章时才说)pi-ka=是、对Pi-ka-chu？=你还好吗？( 某人物或精灵受伤时才说)chuuu-pika=铁尾piika-chuuuuuu=十万伏特pikaaaaa-chuuuuuu=打雷pikapikapika... pi-ka=伏特攻击pipipipipi、chuchughu=电光一闪、高速移动	无	2019-03-16 22:31	11903	8688	2883	无
152	关于《静夜思》李白的《静夜思》在日本流传的版本和中国不一样，全文为「床前看月光，疑是地上霜。举头望山月，低头思故乡。」这个应该是宋代版本的《静夜思》，理论上最接近李白原作的面貌。此外“床前明月光"里的“床”并不是大家以为用来睡觉的卧具，在《辞海》中有明确的注释，床是"井上围栏"。古人把"有井水处"称为故乡，《静夜思》记述李白置身在秋夜明月下的井边上，举头遥望，顿生思乡之情。当然关于“床”具体指什么，学术界还有争议。	无	2019-03-16 19:35	1975	265	327	无
153	英语四六级成绩计算公式TotSco=［（X - Mean)÷SD］×70+500X：你的该项卷面分 Mean：样本均值SD：样本标准差 TotSco：成绩单上的分数因此四六级成绩跟你做对几道题关系不大（当然对的越多过的几率越大），因为四六级分数的算法比较特殊。通俗来讲，就是选了一些大学生样本，根据他们的考试情况，得到均值和标准差，再把你卷面分代入公式去计算。也就是说，四六级成绩不由你做对了多少题决定，而由你在样本中的排位来决定。举个例子，参考图二。其中有个很关键的就是“排位分”。每个题的分数的算法也不同于常规，不是说你得了多少分就是多少分，而是计算每个题的排位分。举个比较极端的例子，假设全国有几百万人考四六级，但是只有你一个人写了作文，当然这种事是不可能发生的，哪怕写得非常不好，作文你也可以拿到满分。简单来说，就是你在所有考生的排名越靠前那么分数就会越高。因此大家都不要担心题目变难了会考不过，题难大家难。然后根据以往的数据有这样一个结论：把四六级的满分转换为100分，一般考到57左右就能过了。大家做题的时候可以估算一下自己分数，好好激励一下自己。只要你的排名比较靠前，那也还是可以过的。	无	2019-03-16 13:55	4482	2554	1497	无
154	世界各地的彩色沙漠1、彩色沙漠美国科罗拉多大峡谷所在的亚利桑那州的沙漠，因有各种颜色，对游客很有吸引力，已被开辟为沙漠公园。从表面上看，这个沙漠无沙，全为含有远古火山熔岩矿物质的沙石。由于当地气温变化极大，可从41℃急降到-30℃，风化作用十分强烈，长年累月下来，一层层沙土晶化成矿质，且有紫、黄、红、绿、白、蓝等各种颜色，在阳光照耀下，令人眼花缭乱。在热气蒸腾下，这些色泽又会凝聚成各种颜色的烟雾，熠熠发光。2、红色沙漠澳大利亚的辛普森沙漠是红色的，特别是在阳光的辉映下，浑然一体，天地难分，显得异常壮丽。如果天降喜雨，小小的植物发芽开花，“万红丛中一点绿”，则更加增添异彩。这个沙漠变红的奥秘，原来是铁质矿物长期风化，使沙石包上了一层外衣——氧化铁。3、白色沙漠美国新墨西哥州的路素罗盆地，有一片奇特的白沙漠。从空中俯瞰，四周几百千米除了少数几种顽强扎根于沙海里的植物外，展现了一个银白色的世界。更为有趣的是，这里的一些动物，如囊鼠、蜥蜴和几种昆虫，身体也变成了白色，以适应严酷的环境。白色沙丘的起因是一亿多年前的石膏质海床几经变幻，石膏矿被常年风化后，结晶成洁白的微小颗粒，从而为这片沙漠增添了这种浪漫的风情。4、黑色沙漠土库曼斯坦的卡拉库姆沙漠，面积有35万平方千米，一片棕黑色，无边无际。游客至此，往往会触发思古之幽情，或感到不寒而栗。据考察，卡拉库姆沙漠的沙子是由这里的黑色岩层经常年风化而成的。	无	2019-03-16 10:41	6238	2005	660	无
155	如题。 	无	2019-03-15 22:30	1645	227	1155	无
156	这个纸折成的方块学名叫片技［piàn jì］。 	无	2019-03-15 21:40	2139	365	1022	无
157	扇贝是会游泳的。 冷知识bot的秒拍视频 	无	2019-03-15 19:34	2731	608	537	无
158	牛油果（鳄梨）英文avocado，来源于纳瓦特语，这是一种美洲中部土著人说的语言。当土著人第一次看到树上的牛油果时，全都惊呆了。他们决定把这种果实，称作“āhuacatl”，这个词在纳瓦特语是“睾丸”的意思。后来欧洲人侵占美洲，就按这个发音，写成了“avocado”。 	无	2019-03-15 13:45	1610	170	326	无
159	汉字“鸟”是一个多音字。 	无	2019-03-15 09:35	2307	676	938	无
160	NHK（日本放送协会）关于宫崎骏的纪录片中介绍：[起风了]之中，这个只有四秒的大场面镜头，耗费了一年多的手绘制作时间。  	无	2019-03-14 22:58	8208	1946	443	无
161	宫崎骏经典作品《哈尔的移动城堡》中男主角哈尔（ハウル）的配音声优是木村拓哉。 	无	2019-03-14 19:40	6778	2103	1141	无
162	月白色是一种很浅的蓝色，因为古人认为月亮的颜色并不是纯白，而是带着一点淡淡的蓝色。 	无	2019-03-14 13:46	6731	928	548	无
163	爱迪生没有发明电灯，他只是改良了电灯。电灯的发明史，最早要追溯到1801年。这一年，英国的一位名叫汉弗里·戴维的化学家在实验室中用铂丝通电发光，当然这不是电灯泡。几年后，他发明了电灯最早的雏形——“电烛”，利用的是两根通电碳棒之间发生的电弧来照明。1854年，在美国，一个名叫亨利·戈培尔的钟表匠，将一根碳化的竹丝放在真空玻璃瓶中，通电发光长达400个小时，世界上第一个电灯泡由此诞生。不过，亨利·戈培尔却没有及时申请专利。另一位英国电技工程师约瑟夫·斯旺经过近30年的研究，于1878年12月制成了以碳丝通电发光的真空灯泡，并申请了专利 。当年有关斯旺的电灯泡的报道给了爱迪生很大的启发。1879年10月，爱迪生制成了以碳化纤维作为灯丝的白炽灯泡，称之为“碳化棉丝白炽灯”。为了争夺电灯的发明权，斯旺在英国将爱迪生告上了法院，但后来他们在法庭外和解，并在英国创办了一家联合公司。最后，斯旺还将他的所有权益和专利都卖给了爱迪生。由于亨利·戈培尔早在1854年就发明出了碳丝白炽灯，因此美国专利局认为爱迪生的发明无效。最后，爱迪生从亨利·戈培尔的遗孀那里将专利买下，才获得了碳丝白炽灯的专利权。爱迪生和他的团队将电灯推广到了成千上万的普通百姓家中，极大地改善了人们的生活方式。由此爱迪生成为了被公认的电灯发明人。	无	2019-03-14 10:30	2934	919	719	无
164	温度没有上限但有下限，下限是-273.15℃，也就是绝对零度。任何物体的温度都不可能低于这个温度，因为物体的微观粒子已经处于完全静止状态。 	无	2019-03-13 23:16	4550	337	751	无
165	史上第一位拥有护照的法老他就是拉美西斯二世（Ramesses II），古埃及第十九王朝法老，统治时间长达66年。1881年，拉美西斯二世的木乃伊在一位大祭司的坟墓中被发现，他的皮肤完好无损，头上大部分毛发也保存完好，还能看到标志性的强壮下巴和鹰钩鼻。由于该具木乃伊不慎被细菌感染，开始出现了腐烂迹象，这促使埃及当局在全球各地寻找能修复木乃伊的专家，最后他们在法国找到了这样的人。为了将这具木乃伊送到法国，这位已故多年的法老需要一本有效护照，因为当时法国法律规定，所有人无论是死者还是活人，都需要有效身份证件才能合法入境。为此，埃及向他发放了一本有效护照。当飞机抵达巴黎时，这具木乃伊受到了军事游行的欢迎，并获得了全部的军事荣誉， 不管是死是活，因公进入法国的国王有权得到这样的接待。因此，拉美西斯二世成为史上第一位持有埃及官方护照和在法国获得全部军事荣誉的法老。	无	2019-03-13 20:00	4247	2112	892	无
166	冷知识bot操作及使用说明：①本bot旨在分享一些有趣的冷知识，知识可以来自各个领域，这个是没有任何限制的。②对于冷知识的定义：当一个知识点发出来，有部分人不知道即可算作冷知识。它可以指那些偏门琐碎的知识，也可以是一些专业的百科知识，或是生活中常常被人误解的知识等等。因此bot评论区禁止出现抬杠言论，例如“这个不冷啊”、“这个大家都知道吧”等等，你知道不代表所有人都知道，因此希望大家能够多多理解，知道的自己略过或者看看也可以起到加深印象的作用，不喜欢可以取关。同样评论区拒绝出现一切含有人身攻击和侮辱谩骂的言论，bot也会删除一些营销评论和恶意带节奏的评论，希望大家共同遵守互联网规则，维护良好的网络环境。③欢迎私信投稿，一经采用将在评论区置顶处艾特投稿人的微博昵称，如果要求匿名，bot之前的做法是直接发出，因此造成了一些认为是直接搬运的操作行为，所以从此以后如果是匿名来稿的博文，bot也会在评论区置顶处提示。有人说一定程度上，冷知识成了散布谣言的最佳地方，确实是这样。之前小冷也发布过错误的知识点，对此深感抱歉！以后会更加严格地审稿，同时希望投稿人在投稿时要有相关资料的佐证，顺便提醒一下百度百科中也有不少错误，不能全信。投稿内容如果非自己原创，最好找一下知识点最初的源头。这点也是bot最头疼的一点，因为有些知识网上一搜，发现不少地方都发过，同一个知识只是换了不同的语言进行描述，此外一些知识本身就是一种客观事实，当这种难以找到最初的源头时，无法进行标注。投稿发出，如有异议可以在评论区指出，你可以说这个知识最初是在哪里看到的，经bot核实后会标注来源；你可以对该知识点提出质疑，本是共同成长的地方，谁也不想学习到错误的知识对吧，bot能力有限，还请大家多指点。投稿量大，为了微博质量及各位看官体验性着想，会对投稿进行简单地筛选。不是每一条私信都会回复，如发现自己的投稿没有被采用，还请多一份理解的心，感恩。④bot微博使用的图片均来自网络，部分由自己稍微做了修改。使用作者原创图（如插画）会经过授权发出并标注，使用网络图时，在不知道作者的情况下无法进行标注，侵删。⑤经常收到私信，就是很多QQ号的空间和我的内容一模一样，问是不是小冷的号。在这里统一说明一下，小冷很久就不用QQ了，所谓的QQ冷知识墙等一系列号都不是小冷，小冷只有微博。至于他们直接搬运的问题，小冷也没有办法。⑥希望各位网友能够手下留情。虽是bot，但依然是由真人运营，还请互相尊重。 如果觉得投稿无趣或者知识性不足等等原因，你可以选择取消关注或者拉黑，净化你的首页。 冷知识bot自2018年10月26日创建以来，有赞赏有批评也有质疑，最重要的是收获了你们，真的很感激。很喜欢那四个字：不忘初心。这也是小冷一直谨记在心的，一起加油！	无	2019-03-13 17:11	5171	61	503	无
167	退出中国国籍需缴纳250元的费用。 	无	2019-03-13 10:00	5089	2301	1405	无
168	猫和狗在失重状态下的对比。 	无	2019-03-12 23:00	24476	22812	7044	无
169	细数瑞士规定的有趣法律①禁止“只养一条金鱼”早在2008年，瑞士的动物权益保护法中便明文规定，禁止“只养一条金鱼”。因为金鱼属于群居动物，在自然环境中，它们会跟鱼群一起行动，同伴对它们有很大的意义。 如果有饲主单独饲养一条金鱼，将会被视作“虐待动物”，并且受到处罚，因为他将宠物置于“孤单”的处境。不只是金鱼，同样属于群居动物的天竺鼠和虎皮鹦鹉也受到此条法律的保护，瑞士还有“配对公司”替“丧偶”的天竺鼠安排交友，希望宠物能够找到新的朋友。②属于猫的权利瑞士政府规定，如果养猫，就必须让它能够到户外活动，或是可以透过窗户看见同伴，要是都做不到的话，就得在家里养两只猫。③晚上10点后禁止冲马桶在瑞士的公寓大楼里，如果10点以后你还在冲马桶的话就会被当作是违法的行为，因为当地政府认为噪音污染比嗅觉污染更损害公众利益。那么，晚上急着上厕所该怎么办？是选择哼着小曲离开公寓，去小树林里解决，还是憋到第二天早上，一切都随你意了。④虾有虾权瑞士政府下令，自2018年3月1日起，禁止把活蹦乱跳的龙虾直接丢进沸水，要求在烹煮前必须先让它们失去意识，违者将受到法律的处罚。动物保护人士和科学家认为，直接水煮会让它们承受巨大的痛苦。	无	2019-03-12 20:10	3346	495	596	无
170	松鼠通过“亲吻”来认出对方。松鼠拥有相当出色的食物管理技巧，它们每次都会把自己找到的粮食藏在一个地方，但它们不只依靠空间记忆力找到食物储藏地，最主要还是依靠嗅觉。对待同类也是如此，第一次遇见同类，松鼠会依靠嗅觉确认对方，嗅的时候会离得很近，看起来就像在接吻，再次遇到这只松鼠时，它们闻到气味也就知道是谁了。	无	2019-03-12 09:50	2921	548	431	无
171	同治4年，诺基亚成立。同治8年，门捷列夫创造出了化学元素周期表。同治9年，三菱成立。同治10年，奔驰成立。光绪5年，世界上第一个心理学实验室成立。光绪6年，柯达成立。光绪15年，任天堂成立。宣统3年，IBM成立。 	无	2019-03-11 20:10	14682	14011	2446	无
172	iPhone原生壁纸的几种花分别是蓝雨光萼荷、嘉兰、耧斗菜、波斯贝母、葡萄风信子和铁筷子。 	无	2019-03-11 16:55	2118	201	123	无
173	快速滑动可以看到橘子[橙子][苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]🍋[苹果]	无	2019-03-11 09:35	26399	13444	9735	无
174	关于锐声恐惧症生活中，有些声音会让我们抓狂，当指甲划过黑板，当自行车突然急刹……这些声音会让我们感到浑身不自在，恨不得想屏蔽掉它们，为什么呢？最早注意并记录这类现象的是古希腊思想家亚里士多德(Aristoteles)。早期人们一直认为是这种声音频率导致人不适，直到1968年通过实验证明，声音频率并不能影响到人对这种声音的不适。后来，科学家将这类声音与自然界内的声音进行类比，结果发现这种声音和一种叫长臂猿的警告声音非常相似。因此推测，人类对这类声音如此敏感是因为人类进化早期所遗留下来的简单反射，也许是和早期同类的危险警告声相似，也许是进化早期某种天敌的叫声相似。看到这个问题，千万不要用大脑回忆，有的人仅仅是看到问题描述的声音，就已经头皮发麻。关于这个问题，还没有定论，真实原因还有待科学的进一步验证。	无	2019-03-10 22:10	3508	795	1308	无
175	鸵鸟拥有陆地生物中最大的眼球，眼球重达60克，视力达到了25，能够识别10公里范围内的物体。 	无	2019-03-10 14:45	6936	2238	1104	无
176	洛必达法则（L'Hospital's rule）的创始人并不是洛必达，而是洛必达买了他老师伯努利的研究成果。 	无	2019-03-10 10:00	5331	2107	1372	无
177	潜水时，首先注意防你的潜伴，随时观察他的举动。如果潜伴的供气系统发生故障，呛水，你先保护好自己，防止他抢夺你的呼吸器，然后再把备用呼吸器给他。 	无	2019-03-09 22:20	3862	407	656	无
178	阿富汗全国唯一的一头猪是中国送的，叫Khanzir。 	无	2019-03-09 19:20	4725	620	1801	无
179	由于江户时代对食肉的禁忌，日语中，桜(さくら)是马肉的别称，牡丹(ぼたん)是野猪肉的别称。 	无	2019-03-09 10:46	1987	221	252	无
180	单词news的词源是根据拉丁语圣经中的词nova（词义new things），而new的词源是"niwe"，niwe þing，和东南西北没有任何关系。The English word "news" developed in the 14th century as a special use of the plural form of "new". In Middle English, the equivalent word was newes, like the French nouvelles and the German Neues.因此这种说法只能说是一个巧合，当做记忆窍门就好了，但并不是该单词的来源。	无	2019-03-09 09:52	1683	123	146	无
181	我们习惯已久的动物叫声，在不同语言里的发声。【猫】汉语：喵喵喵~日语：にゃーにゃー（nia~nia~泥呀~泥呀~）英语：meow meow meow（miao~ miao~）小奶猫 purr purr purr~（盆儿盆儿盆儿~）【狗】汉语：汪汪汪~日语：わんわん~（汪汪~）英语：woof woof~（雾腐雾腐~）【猪】汉语：自行脑补，写不出来。日语：boo boo~（布布~）英语：sooey sooey~（素衣素衣~） oink oink~（哦硬可~）【马】汉语：自行脑补。不是吁~~~~~啦！那是人啦！英语：neigh neigh~（内内~）日语：ひひーん~（hi（喝衣拼一起）hing（喝硬拼一起）~ hi hing~）【蜜蜂】汉语：嗡嗡嗡~英语：buzz buzz~（霸日霸日~）日语：ぶんぶん~（bun bun~ 不摁不摁~）	无	2019-03-08 22:10	2817	728	694	无
182	盲人的世界，并不是漆黑一片。很多人都曾以为闭上双眼就是盲人所感知到的世界，实则不是，因为黑暗是对没有光线的环境的视觉感受，也是一种“看见”的结果。因此先天性全盲的人是仅连那一点黑白都未曾所见，他们所看到的世界是空洞洞的，净是虚无。现在闭上双眼，你会看到黑色。然后睁开其中一只眼，你闭上的那只眼睛所看到的，或许就是盲人的世界。	无	2019-03-08 16:46	16165	13835	2528	无
183	其实根本没有“阀（fá）值”这种说法，正确的应该称为“阈（yù）值”，对应英文“threshold”。 	无	2019-03-08 11:26	2585	409	606	无
184	吻痕的专业医学名词叫机械性紫斑。 	无	2019-03-07 22:40	4228	513	999	无
185	胖虎的妹妹没有正式的名字官方设定胖虎的本名叫“刚田武”，然而并没有给他妹妹设定名字。因为藤子·F·不二雄老师担心如果我给这个相貌并不是很可爱的角色起了名字，那么在现实中和她重名的女孩儿就会在学校受欺负，就太可怜了。根据《哆啦A梦》开端的设定，胖虎的妹妹只能跟“霸道总裁”、“小明”一样，作为一个通俗故事里的词存在。作者按照胖虎的外号Giant，给她起了外号技子（ジャイ子），也可直接称胖妹。	无	2019-03-07 16:15	6036	1955	639	无
186	红酒开瓶器弯曲的部分和鸭子生殖器很相似。 	无	2019-03-07 09:45	1577	243	1180	无
187	世界上拥有无证驾驶特权的有两位，一位是英国女王伊丽莎白二世，一位是中国的袁隆平爷爷。 	无	2019-03-06 20:12	6169	500	708	无
188	小时候大家玩的《赛尔号》中，有个经典精灵叫雷伊，它的原型是超级赛亚人孙悟空。此外《摩尔庄园》中，瑞琪与RK二者的原型都是摩尔研发成员郑宙理，分别是他的光明面和黑暗面，据他本人解释，这样会更有代入感。 	无	2019-03-06 18:00	1855	397	366	无
189	俄罗斯方块里的每一款方块都有官方命名。 	无	2019-03-06 12:45	3713	1565	275	无
190	羊的瞳孔是横向矩形的。 	无	2019-03-05 22:52	4456	1117	851	无
